Name,Latitude,Longitude,HotspotID
Skull's Gap Overlook,36.709216,-81.620944,L718732
Sky Meadows State Park,38.99171,-77.96575,L159404
Slate Lick Fields,38.603132,-78.94235,L718733
Sleepy Hole Park,36.836632,-76.524196,L718734
"Smart View Recreational Area, Blue Ridge Parkway",36.92793,-80.18848,L718735
Smith Bridge - Jackson River Float Trip,37.877205,-79.976185,L718535
Smith Mountain Lake Community Park,37.089289,-79.618784,L718736
Smith Mountain Lake State Park,37.091422,-79.593096,L718737
Smithfield Farm,39.16406,-77.89948,L4748807
Snickers Gap Hawk Watch,39.11535,-77.84645,L159406
South Haven Beach,37.424654,-76.25282,L718739
"South River Falls Loop Trail, Shenandoah National Park",38.38107,-78.51875,L159397
"Spotsylvania Court House Battlefield, Fredericksburg & Spotsylvania Nat'l Military Park",38.21914,-77.61397,L909764
Spruce Creek Park (Rockfish Valley Trail System),37.885358,-78.898559,L471032
State Lands at Goshen,37.94789099,-79.45995175,L718478
Staunton River Battlefield State Park,36.88344,-78.70603,L718745
Staunton River State Park,36.701827,-78.679737,L159407
Stewarts Creek Wildlife Management Area,36.59567,-80.78054,L718747
Stonehouse Lake Park,37.67329,-79.11906,L718748
Stony Fork Creek Campground,37.00994,-81.18161,L718424
"Stony Man Trail, Shenandoah National Park",38.59325,-78.37608,L159398
Stratford Hall Historic Preserve,38.150896,-76.840943,L421238
Stumpy Lake Natural Area,36.77471818,-76.16071577,L718750
Clinch River State Park,36.90516,-82.32016,L718751
Sweet Road (FDR-350),37.62764,-80.181,L718753
Sweet Run State Park,39.29249376,-77.72578784,L718332
Switzer Lake Area,38.572117,-79.144449,L718754
T. M. Gathright Wildlife Management Area,38.00976,-79.95799,L718756
Tangier Island and Onancock Wharf,37.829495,-75.990982,L718758
"The Cove, Tazewell County",37.015085,-81.673275,L718761
The Cultural Arts Center at Glen Allen/Walkerton,37.667291,-77.501383,L718800
The Falls,37.046635,-78.150953,L718762
The Mariners' Museum Park,37.058184,-76.487474,L523043
The Nature Conservancy's Vandell Preserve at Cumberland Marsh,37.54180012,-76.9852869,L283670
The Nature Foundation at Wintergreen,37.92103,-78.95099,L633505
The Reynolds Homestead,36.64306,-80.14894,L718764
The Rivanna Trail - Quarry Park,38.015235,-78.476665,L1898260
The Rivanna Trail - Riverview Park,38.024304,-78.454576,L718767
"The Wetlands, James River Park System",37.546763,-77.510208,L525710
Theodore Roosevelt Island,38.896125,-77.062586,L718768
Thrasher Lake Park,37.67095,-79.13519,L718770
Thrasher Park,37.28813,-79.90727,L718769
Three Lakes Park and Nature Center,37.618824,-77.429441,L634305
Tinker Creek Greenway,37.275459,-79.907964,L718771
Tobacco Heritage Trail - Boydton,36.669439,-78.387443,L7162045
Tobacco Heritage Trail - Victoria Railroad Park,36.99028999,-78.22473,L718785
Tobacco Heritage Trail: La Crosse to Brodnax,36.69695,-78.094024,L20028084
Tobacco Heritage Trail: South Boston,36.697611,-78.910477,L1581864
Todd Lake Recreation Area,38.36539,-79.20868,L718772
Top Road/North Mountain,37.88697,-79.5939,L718773
Totier Creek Park,37.78012,-78.50973,L718774
Trail of the Trees,37.55582,-79.36485,L159414
Turkey Run Park,38.963689,-77.151321,L718777
Turkeycock Mountain Wildlife Management Area,36.805681,-79.741294,L718778
Twin Lakes State Park,37.17567,-78.27865,L718780
U.S. Army Corps of Engineers - Tailrace Park - John H. Kerr Dam & Reservoir,36.60131,-78.29939,L159333
"U.S. Army Corps of Engineers, Merifield Wildlife Management Area",36.58976001,-78.52585999,L718600
"U.S. Army Corps of Engineers, Old Soudan Wildlife Management Area",36.57022001,-78.51748,L718711
Uptown Connector Park and Trail,36.692706,-79.871493,L718781
UVA Wise,36.9732327,-82.5590255,L718782
Varina LandLab Conservation Area,37.419809,-77.313056,L8260406
Vawter Street Park / Glen Lea Recreation Area,37.5929794,-77.4042747,L718783
Veteran's Memorial Park,36.688244,-77.540908,L718784
Vint Hill Farms Park,38.75389,-77.67673,L718786
Vir-Mar Beach,37.929819,-76.307791,L718787
Virginia Aquarium & Marine Science Center,36.820898,-75.983721,L718788
Virginia Creeper Trail - Abingdon,36.70955,-81.97138,L421205
Virginia Creeper Trail - Damascus,36.63525,-81.79208,L718789
Virginia Creeper Trail - Watauga,36.67808,-81.93513,L718790
Virginia Living Museum,37.071672,-76.477494,L718792
Virginia Tech Campus and Historic Smithfield,37.226583,-80.425827,L659528
Virginia's Explore Park,37.2374,-79.85154,L718796
Voorhees Nature Preserve,38.171818,-77.050657,L618753
Wachapreague Interpreted Marsh View,37.601987,-75.689702,L719116
Waid Recreation Area,36.967583,-79.94088,L718797
Wakefield Park,38.812435,-77.224678,L718798
Walnut Creek Park,37.92316,-78.58764,L718801
Walrond Park,37.3518,-79.9611,L248755
"Walton Park, Town of Mineral",38.00563001,-77.90466,L718802
Walton Tract on the Cowpasture River,37.95192,-79.70222,
War Spur Trail,37.39076,-80.50799,L718804
Warbler Road,37.507552,-79.5237,L2118736
Warm Springs Mountain Preserve - Bear Loop Trail,37.954479,-79.835702,L6102816
Warm Springs Mountain Preserve - Ingalls Overlook Trail,38.051193,-79.766309,L4510600
Wasena Park and the Roanoke River Greenway,37.267116,-79.96279,L718688
Washington County Park - South Holston Lake,36.60097936,-82.01647911,L1582789
Washington's Ferry Farm,38.296489,-77.448667,L451957
Wayside Park,38.359648,-77.016478,L718808
Western Branch Reservoir,36.809617,-76.618931,L718809
Westmoreland State Park,38.154678,-76.870776,L718813
Weston Wildlife Management Area,38.664441,-77.697603,L5176095
Wetlands Estonoa,36.9075,-82.30926,L718555
Whispering Pines Park,37.36814,-80.04572,L718816
White Oak Mountain Wildlife Management Area,36.77883,-79.33161,L279159
Whitetop Laurel Fishing and Viewing Area,36.64794,-81.67137,L718817
Whitetop Mountain,36.63713,-81.60745,L159420
Whitney State Forest,38.6717,-77.80556,L718818
Wilck's Lake,37.303353,-78.409697,L718819
Wilderness Road State Park,36.63079,-83.52621,L718820
Wildwood Park,37.13764,-80.56675,L718821
Willis Wharf,37.509019,-75.805509,L718822
Windsor Castle Park,36.975927,-76.626441,L869541
Wise Reservoir,36.96499,-82.53221,L718824
Wolf Creek Greenway,37.28118,-79.86811,L718825
Wolf Creek Picnic Area and Trail,37.18021,-81.19517,L718826
York River State Park,37.414015,-76.714673,L718829
"Yorktown Battlefield, a unit of Colonial National Historical Park",37.232455,-76.503166,L718830
Zoar State Forest,37.78782,-77.114157,L718831
